"","0.45","0.48","0.5","0.51","0.52","0.53","0.54","0.55","0.56","0.58","0.6","0.62","0.64","0.66","0.68","0.7"
"bayesian | a=1 | b=1 | min_stop=300 | critical_value=0.006103515625987792",19999.4097543113,19943.8832124759,19055.2317270464,16655.7805457893,11460.2020684395,5370.69313892503,1789.66379519522,706.956560937864,471.884407209656,347.021892465345,310.710977848042,301.775267584472,300.197518815512,300.013765160713,300.000562528825,300.000012585502
"max_sprt | min_stop=300 | alpha=0.049779296875",19999.2986144664,19938.0654740327,19049.9155307556,16739.5167463226,11697.9912262186,5610.38216708923,1885.16356614722,718.185446218491,467.734752396776,344.426742293077,309.880655772371,301.596200145728,300.172721257511,300.011681037558,300.000462342078,300.000010003358
"bravo    | p=0.7 | min_stop=300 | alpha=1",19999.9984106079,19999.6868608181,19994.1923583507,19978.9808537113,19932.0732583372,19803.6128839405,19491.0455089071,18815.2291278952,17517.0723783934,11984.4294134219,3763.49679112375,490.542644939366,309.655281338427,301.017309372437,300.075175670231,300.003362700167
"bravo    | p=0.55 | min_stop=300 | alpha=0.065388671875",19999.1428260446,19924.2751272818,19036.4552189057,17067.3740822019,12784.746055597,6935.0113631428,2551.32585280557,848.700161180277,467.957660523867,339.859779376491,308.873564814193,301.444531501142,300.157685447396,300.010757555316,300.000429470644,300.000009372519
"clip     | min_stop=300 | alpha=0.11416796874999999",19999.2982933994,19937.9282402415,19046.4503628955,16728.9211440674,11680.0031083024,5595.33414975882,1879.17873299539,716.893152210513,467.454283903657,344.388415843151,309.876903451298,301.596022928873,300.172717705402,300.011681010531,300.000462342012,300.000010003357
"bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1",19999.9984124175,19999.6874015516,19994.2041527555,19979.0256576041,19932.2221955174,19804.0479413934,19492.1689217497,18817.8187576484,17522.496865812,12004.0485162222,3793.92967010894,494.463787542471,309.701936180653,301.020316978441,300.075381019813,300.003370880592
"bravo_without_replacement | p=0.55 | min_stop=300 | alpha=0.05953515625",19999.2111633036,19927.3367017728,19038.2984766408,17027.4414933338,12654.8428914337,6768.23986975232,2458.85597194542,827.704320673704,467.418960681146,340.951690659613,309.243276761817,301.523513692669,300.1681493235,300.01157868493,300.000465621398,300.000010211261
"bravo_without_replacement | p=0.51 | min_stop=300 | alpha=0.22733593749999997",19999.9986346989,19990.7793826205,19069.2699855056,15863.5877965569,9659.81657772632,3951.60098270954,1439.70108284878,825.311352358807,654.767250989205,486.212472884968,392.098627513575,338.950773848834,312.806672166313,302.982300387886,300.451288307531,300.040946383454
"truncated_bayesian | a=1 | b=1 | min_stop=300 | critical_value=0.3437565625",19998.7073851368,19915.0019120479,19035.4462590755,17019.4960671484,12514.0935944748,6500.57413456067,2288.2419462916,786.390540090889,461.571651202965,336.993388855939,307.398920127489,301.068294879337,300.102534073612,300.006101209961,300.000210672144,300.000003939825
"bayesian_with_replacement | a=1 | b=1 | min_stop=300 | critical_value=0.0073242187598535164",19999.2880892288,19937.1172145493,19036.4323102303,16702.7440188446,11638.2132307359,5560.81333920654,1865.13883164916,713.493062628091,466.42173281237,344.093843698639,309.801206382081,301.5825069876,300.171186202682,300.011579352753,300.000458670681,300.000009936245
