"","0.45","0.48","0.5","0.51","0.52","0.53","0.54","0.55","0.56","0.58","0.6","0.62","0.64","0.66","0.68","0.7"
"bayesian | a=100 | b=100 | critical_value=0.011962890625976073",19999.5267742874,19961.1417623558,19063.766203221,16401.7437338911,10828.7484448653,4803.84987373784,1590.57367818595,689.188964158497,475.625108951265,314.430871214395,232.318559680478,182.995088626077,150.428268880089,127.451294514967,110.432497085179,97.3528837991442
"bayesian | a=500 | b=500 | critical_value=0.03613281250092773",19999.9862006621,19985.2756740686,19070.3148893729,16033.600862782,10012.8113894743,4180.92280142303,1449.52212395902,753.720180544917,572.981355613647,408.973015747047,317.673148366245,259.42737543323,219.12333205251,189.613520434887,167.084566060881,149.326185756956
"bayesian | a=1000 | b=1000 | critical_value=0.06152343750087695",19999.9965448897,19989.1823380781,19075.3937049672,15940.3124314376,9806.18990146168,4042.62615757766,1441.85909910614,795.263845330923,620.368299012828,452.27632540862,355.900204133759,293.255729896111,249.314057117167,216.813235095252,191.817397783855,171.976504063495
