"","0.45","0.48","0.5","0.51","0.52","0.53","0.54","0.55","0.56","0.58","0.6","0.62","0.64","0.66","0.68","0.7"
"bayesian | a=1 | b=1 | critical_value=0.002441406250995117",1989.92134822733,1971.95140838192,1919.82647758779,1829.10826903377,1622.66585723823,1285.06790833264,918.542394316315,636.63300746012,455.083083022142,263.803708728688,172.230239414043,121.470522883454,90.4165706208954,70.0241781106844,55.9002383951415,45.7052420639268
"max_sprt | alpha=0.015625000586733228",1976.74971178297,1955.35494677939,1908.76313988664,1834.46987453077,1659.80905344153,1349.78796964157,981.715682437732,679.899913343527,481.239569049815,274.163995874229,176.822650803199,123.430270270975,90.9818866410676,69.775421910826,55.142467001525,44.6107780182771
"bravo    | p=0.7 | alpha=0.058559570312499996",1977.03922575665,1944.97978016572,1901.92879015326,1869.2125246162,1825.70440541327,1767.89368300654,1691.17993086238,1589.62068772209,1455.79520498012,1059.72326326115,530.943574800847,192.836348131776,94.4786036338046,61.7153020945647,45.7905811762064,36.3825061094594
"bravo    | p=0.55 | alpha=0.0566083984375",1999.73997687276,1991.82233772513,1927.04371106688,1804.57255261145,1554.22507262738,1187.06858308705,821.636355349885,563.278041129847,411.13990430285,263.262275911422,193.385183363997,152.797566807164,126.287365157204,107.614940528576,93.7532298999532,83.0556439630997
"bravo    | p=0.51 | alpha=0.25270117187499996",1999.99979994099,1999.4883325765,1966.871486902,1856.70423124581,1606.06745324211,1268.36947713217,970.838226519579,764.287604205028,626.92135245799,460.631343785574,363.972195885684,300.810042799135,256.293115798462,223.220207210905,197.738678695381,177.584455387182
"clip     | alpha=0.0468525390625",1989.48216395974,1970.38054540484,1917.25711740698,1828.96682226478,1629.58318237622,1297.65587437286,927.898430842835,638.819024658389,452.896314351087,259.970220314571,169.039608613337,119.02761108589,88.5605358095255,68.6050633252036,54.8069980877122,44.8583369564723
"bravo_without_replacement | p=0.7 | alpha=0.0582103237658739",1978.22669098935,1946.85971208279,1904.26708043203,1871.72859912489,1828.32763795337,1770.51767511428,1693.65645577193,1591.75678344821,1457.359795038,1059.54665890006,529.807537038608,192.513402450481,94.5971854778577,61.9434363231237,46.0566612259348,36.6658373310301
"bravo_without_replacement | p=0.55 | alpha=0.0527060546875",1999.77361340468,1992.25131564417,1927.51569898456,1803.02034299335,1548.53491736134,1178.99208053078,816.243834738474,562.3291312186,412.867037194787,266.287791089254,196.309828466558,155.431741996468,128.637369612078,109.715468609326,95.6359565405593,84.7490500551588
"bravo_without_replacement | p=0.51 | alpha=0.22733593749999997",1999.99990444543,1999.58990823282,1968.94518915347,1862.01829159616,1616.94170213111,1286.64438283216,995.040994680142,790.773674673681,653.149150617584,484.038817144709,384.384853316491,318.668649412135,272.126248487708,237.598664886314,210.993501689728,189.735691495096
"truncated_bayesian | a=1 | b=1 | critical_value=0.060556269531250005",1971.01934549152,1945.55431380697,1904.90798139373,1855.4403094563,1741.60540496487,1506.11633133173,1158.28944340278,813.333390267163,562.361395350872,300.734847293568,184.550042854388,123.940450823961,88.6157430023014,66.3456187244836,51.4620128433429,41.0559429580115
"bayesian_with_replacement | a=1 | b=1 | critical_value=0.002746582041195069",1989.44201231552,1970.24028237638,1916.99925715841,1828.67845050429,1629.33183957171,1297.4782760601,927.751282518199,638.657692055438,452.717245165941,259.774706459347,168.845484426742,118.849252579855,88.4029408946952,68.4681192428308,54.6896492455831,44.7608901307144
"bayesian | a=1 | b=1 | min_stop=300 | critical_value=0.006103515625987792",1999.95002634375,1995.51509668682,1939.37770380511,1813.4969864766,1547.30718474464,1175.09381734117,832.144251356201,601.15841091221,466.600968074386,347.020872863258,310.7109778428,301.775267584454,300.19751881554,300.013765160713,300.000562528845,300.000012585522
"max_sprt | min_stop=300 | alpha=0.049779296875",1999.94056897422,1995.01295722108,1936.83526192407,1810.71873224458,1546.0222559,1173.81215271298,828.146681673089,595.37787615917,461.25693008687,344.425337031968,309.880655764235,301.596200145728,300.172721257515,300.011681037558,300.000462342098,300.000010003377
"bravo    | p=0.7 | min_stop=300 | alpha=1",1999.99986318791,1999.97308122647,1999.50149879791,1998.19776873429,1994.18416234187,1983.21838296072,1956.62910468237,1899.45072849729,1790.62413084004,1342.84699836156,706.942857871156,372.573224789143,309.442240121879,301.01729980954,300.075175670231,300.003362700167
"bravo    | p=0.55 | min_stop=300 | alpha=0.065388671875",1999.92773632383,1993.88217835629,1929.57307343891,1803.1312225291,1546.67481129989,1178.87720768053,823.587818212526,582.108031974013,448.601014426295,339.851274870447,308.873564708844,301.444531501143,300.1576854474,300.010757555294,300.000429470672,300.000009372539
"clip     | min_stop=300 | alpha=0.11416796874999999",1999.94054512787,1995.0036594317,1936.648604055,1810.18057457139,1545.01766106408,1172.65502121683,827.28538963127,594.902751765762,461.031231225749,344.38702726122,309.876903443304,301.596022928873,300.17271770541,300.011681010517,300.000462342029,300.000010003377
"bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1",1999.99986334057,1999.97312682892,1999.50249220778,1998.20153722466,1994.19665997516,1983.2547390401,1956.7222781392,1899.66234658384,1791.05342930609,1344.10313867954,708.488826147898,372.945704238846,309.47555981335,301.020306413582,300.075381019814,300.003370880597
"bravo_without_replacement | p=0.55 | min_stop=300 | alpha=0.05953515625",1999.93353925528,1994.15195130704,1930.50078996497,1803.34105146043,1544.59441862141,1175.36547944194,821.754590909742,582.739039253775,450.234581804531,340.944690329343,309.243276681892,301.523513692669,300.168149323501,300.011578684926,300.000465621426,300.000010211281
