"","0.45","0.48","0.5","0.51","0.52","0.53","0.54","0.55","0.56","0.58","0.6","0.62","0.64","0.66","0.68","0.7"
"bayesian | a=1 | b=1 | critical_value=0.05",17511.802643567,15407.0265689332,11324.1171886611,7337.28896118404,3290.84111953016,1020.1716657475,335.116352414474,185.669884639692,132.728614496185,80.3826479614591,54.5827009213684,39.8672961112172,30.6329954549987,24.4324855374865,20.0537944892915,16.8382130638104
"max_sprt | alpha=0.05",19366.7657419725,18795.3506686974,17401.6448158577,15038.3001621652,10364.7477644144,4906.5752183564,1604.03018006686,564.981707292724,329.537263606448,186.330010032536,121.23174950955,85.2883933484291,63.322244714496,48.9012487616051,38.9151706096517,31.7079395265773
"bravo    | p=0.7 | alpha=0.05",19815.1965397442,19536.5619675947,19147.4378365453,18844.255205682,18433.5339698245,17876.9655885248,17122.4636665364,16099.1666804872,14710.7241509223,10291.4184365262,3671.54750281234,361.641098537715,99.8529414855195,64.9575535325121,48.1861365756149,38.2740463359334
"bravo    | p=0.55 | alpha=0.05",19998.0603363971,19924.3513830737,19160.7783536007,17408.3016151593,13371.4357724564,7505.0217944129,2833.28058259972,909.45228694253,453.448628900377,274.529366553089,201.683196068541,159.364720887958,131.716141431182,112.240033638124,97.781677056576,86.624932089359
"clip     | alpha=0.05",19892.1363485181,19686.4535950248,18991.0637902291,17461.5926297112,13547.1749365855,7547.91024980772,2798.80942232185,913.340078451808,465.523235176496,256.053624226254,166.658966420186,117.489143021515,87.5297586125911,67.8970623970999,54.3133337185871,44.513910235487
"bravo_without_replacement | p=0.7 | alpha=0.05",19815.0539979123,19535.6525851789,19144.8551660412,18840.1243467983,18427.1357547605,17867.3496541457,17108.4201709122,16079.2349342286,14683.3181270265,10247.6761624847,3639.74659249863,357.989991709269,99.4166223386405,64.7814063994561,48.1053285182694,38.2374333056478
"bravo_without_replacement | p=0.55 | alpha=0.05",19997.8777453601,19917.2601077952,19084.0962624243,17196.7331586273,12968.2010395445,7070.92878660782,2598.42298423424,844.90085179039,439.786219648574,270.942374631904,199.742840626716,158.143581882946,130.872298343144,111.62090613692,97.3107268354965,86.2573258465942
"truncated_bayesian | a=1 | b=1 | critical_value=0.05",19825.2021130769,19628.7926924651,19264.6955739934,18669.0553254251,16793.643637744,12289.3937735891,6230.23672465626,2148.20504922817,760.287696800079,322.102522185391,197.953774905866,133.191006981452,95.3982028779719,71.5402262787368,55.5653150076022,44.3696831005478
"bayesian_with_replacement | a=1 | b=1 | critical_value=0.05",17514.7516775276,15433.7058252462,11500.7091680348,7626.64613664817,3539.58518838211,1122.24270220387,355.938236427787,189.114553758,133.916812270202,80.7651824231079,54.7363104809024,39.9333544518655,30.6611485028869,24.4437623354269,20.0578851571205,16.8395147342312
